"x"
"sss the" 2225
"of the" 1914
"in the" 1746
"said eee" 899
"#no eee" 888
"to the" 846
"on the" 722
"sss i" 709
"for the" 688
"sss he" 614
"sss but" 609
"at the" 585
"in a" 564
"in #no" 509
"and the" 508
"sss in" 469
"to be" 466
"with the" 464
"sss it" 412
"from the" 405
"sss #no" 374
"sss and" 366
"sss a" 356
"sss it's" 350
"with a" 348
"as a" 337
"sss we" 331
"#no percent" 326
"he said" 313
"by the" 309
"that the" 308
"of a" 304
"#no million" 302
"will be" 302
"for a" 292
"one of" 289
"is a" 288
"the #no" 287
"to #no" 285
"he was" 277
"and a" 266
"it was" 261
"the first" 260
"sss they" 256
"#no and" 249
"more than" 247
"to a" 228
"sss this" 216
"at #no" 210
"on a" 210
"has been" 208
"#no pm" 206
"as the" 205
"was a" 203
"sss she" 201
"sss if" 199
"about #no" 195
"of #no" 195
"a #no" 193
"sss that" 193
"out of" 191
"sss for" 182
"going to" 181
"is the" 181
"it is" 180
"into the" 176
"have been" 175
"and #no" 174
"it eee" 174
"over the" 170
"than #no" 170
"a lot" 168
"said the" 168
"to get" 167
"#no to" 162
"sss there" 159
"according to" 158
"the state" 156
"to make" 155
"#no years" 153
"but the" 151
"she said" 151
"the new" 151
"sss when" 150
"about the" 149
"last year" 148
"said he" 146
"#no in" 144
"the same" 144
"be a" 143
"sss as" 143
"sss at" 143
"part of" 142
"would be" 141
"such as" 136
"for #no" 135
"this is" 135
"in his" 131
"i think" 130
"want to" 130
"have to" 129
"and i" 127
"that he" 126
"sss so" 124
"sss you" 124
"at a" 123
"to do" 123
"to have" 123
"was the" 123
"at least" 122
"year eee" 122
"had a" 121
"lot of" 121
"the us" 121
"new york" 120
"have a" 119
"sss that's" 119
"the company" 118
"#no billion" 115
"of his" 115
"i was" 114
"a new" 113
"the most" 113
"after the" 112
"when the" 111
"this year" 110
"sss on" 109
"there are" 109
"i don't" 108
"the city" 106
"they were" 106
"#no am" 105
"by a" 105
"from #no" 105
"in an" 105
"up to" 105
"during the" 104
"is not" 104
"sss i'm" 103
"#no of" 102
"a few" 101
"from a" 101
"it's a" 100
"there is" 100
"all the" 99
"able to" 98
"the second" 98
"a little" 97
"to see" 96
"sss after" 95
"has a" 94
"to take" 94
"trying to" 94
"had been" 93
"into a" 93
"the best" 93
"they are" 93
"a year" 92
"can be" 92
"he is" 92
"sss his" 92
"the last" 92
"because of" 91
"high school" 91
"sss with" 91
"st louis" 91
"to help" 91
"we have" 91
"years eee" 91
"a good" 90
"could be" 90
"he had" 90
"and his" 88
"as well" 88
"did not" 88
"season eee" 88
"some of" 88
"sss one" 88
"when he" 88
"with #no" 88
"and other" 87
"if you" 87
"new jersey" 87
"says eee" 87
"you can" 87
"if the" 86
"and then" 85
"april #no" 85
"the team" 85
"and that" 84
"#no for" 82
"no #no" 82
"percent of" 82
"that is" 82
"the game" 81
"who was" 81
"all of" 79
"but it" 79
"sss what" 79
"the past" 79
"the next" 78
"#no the" 77
"game eee" 77
"of this" 76
"the time" 76
"of their" 75
"sss he's" 75
"them eee" 75
"years ago" 75
"and he" 74
"he has" 74
"it's not" 74
"sss no" 74
"sss then" 74
"sss to" 74
"the way" 74
"may #no" 73
"the two" 73
"through the" 73
"would have" 73
"in this" 72
"need to" 72
"she was" 72
"the end" 72
"time eee" 72
"be the" 71
"end of" 71
"back to" 70
"sss some" 70
"him eee" 69
"of its" 69
"that was" 69
"#no a" 68
"the other" 68
"off the" 67
"the case" 67
"the only" 67
"to go" 67
"we are" 67
"sss now" 66
"that eee" 66
"that it" 66
"the top" 66
"the world" 66
"last week" 65
"most of" 65
"number of" 65
"said that" 65
"with his" 65
"a great" 64
"said in" 64
"#no points" 63
"against the" 63
"before the" 63
"is that" 63
"wanted to" 63
"which is" 63
"kind of" 62
"on his" 62
"should be" 62
"since #no" 62
"to play" 62
"i have" 61
"like a" 61
"sss all" 61
"sss there's" 61
"to keep" 61
"in new" 60
"it would" 60
"may be" 60
"people who" 60
"sss my" 60
"sss we're" 60
"the right" 60
"to his" 60
"way to" 60
"among the" 59
"because the" 59
"been a" 59
"who is" 59
"#no at" 58
"#no minutes" 58
"#no or" 58
"but he" 58
"it to" 58
"sss while" 58
"the day" 58
"under the" 58
"a very" 57
"million in" 57
"the public" 57
"to work" 57
"up the" 57
"who has" 57
"and was" 56
"get a" 56
"he would" 56
"is to" 56
"of those" 56
"the year" 56
"and it" 55
"and they" 55
"for his" 55
"in which" 55
"it will" 55
"of them" 55
"said it" 55
"them to" 55
"well as" 55
"had to" 54
"if he" 54
"in my" 54
"not a" 54
"that we" 54
"there was" 54
"told the" 54
"and is" 53
"director of" 53
"in its" 53
"not be" 53
"the law" 53
"to say" 53
"have the" 52
"march #no" 52
"sss even" 52
"the ball" 52
"the final" 52
"this season" 52
"week eee" 52
"you have" 52
"#no with" 51
"and we" 51
"around the" 51
"as an" 51
"as he" 51
"but i" 51
"by #no" 51
"his first" 51
"how to" 51
"i had" 51
"said they" 51
"sss last" 51
"sss those" 51
"the federal" 51
"the national" 51
"this week" 51
"time to" 51
"tried to" 51
"was not" 51
"a former" 50
"along with" 50
"and to" 50
"are the" 50
"as they" 50
"day eee" 50
"many of" 50
"sss these" 50
"the country" 50
"up in" 50
"a big" 49
"is an" 49
"make a" 49
"san francisco" 49
"the season" 49
"first time" 48
"is in" 48
"said she" 48
"to pay" 48
"with an" 48
"and more" 47
"based on" 47
"down the" 47
"he says" 47
"i am" 47
"june #no" 47
"now eee" 47
"the city's" 47
"the county" 47
"the house" 47
"to give" 47
"two years" 47
"across the" 46
"after a" 46
"in addition" 46
"in their" 46
"look at" 46
"sss new" 46
"that will" 46
"to put" 46
"we were" 46
"well eee" 46
"ago eee" 45
"and will" 45
"away from" 45
"less than" 45
"not only" 45
"the people" 45
"the third" 45
"there were" 45
"to an" 45
"was in" 45
"when they" 45
"will have" 45
"a long" 44
"am eee" 44
"does not" 44
"just a" 44
"nearly #no" 44
"of all" 44
"of an" 44
"plans to" 44
"sss however" 44
"that would" 44
"the state's" 44
"the united" 44
"they can" 44
"to win" 44
"#no feet" 43
"as much" 43
"him to" 43
"i can" 43
"it has" 43
"not to" 43
"of that" 43
"sss an" 43
"sss by" 43
"sss not" 43
"than the" 43
"that i" 43
"the government" 43
"there eee" 43
"to find" 43
"united states" 43
"where he" 43
"#no when" 42
"and in" 42
"be able" 42
"get the" 42
"out eee" 42
"percent eee" 42
"president of" 42
"the court" 42
"the former" 42
"they have" 42
"to come" 42
"up with" 42
"when i" 42
"when you" 42
"who had" 42
"work eee" 42
"#no people" 41
"do not" 41
"expected to" 41
"his own" 41
"i know" 41
"in her" 41
"last month" 41
"of course" 41
"school eee" 41
"sss our" 41
"the big" 41
"the district" 41
"was #no" 41
"would not" 41
"between the" 40
"but they" 40
"don't know" 40
"los angeles" 40
"of her" 40
"pm eee" 40
"since the" 40
"so much" 40
"such a" 40
"than a" 40
"that are" 40
"the school" 40
"they had" 40
"try to" 40
"wants to" 40
"when it" 40
"where the" 40
"#no was" 39
"a small" 39
"even though" 39
"for more" 39
"go to" 39
"health care" 39
"if they" 39
"is #no" 39
"is one" 39
"know what" 39
"make the" 39
"much of" 39
"of our" 39
"of what" 39
"out the" 39
"right now" 39
"sss they're" 39
"the company's" 39
"today eee" 39
"too eee" 39
"us eee" 39
"who are" 39
"a statement" 38
"feb #no" 38
"five years" 38
"he also" 38
"least #no" 38
"me eee" 38
"of it" 38
"out to" 38
"sss or" 38
"that they" 38
"the american" 38
"the road" 38
"and has" 37
"night eee" 37
"not the" 37
"of my" 37
"sss although" 37
"sss another" 37
"sss both" 37
"there's a" 37
"those who" 37
"to this" 37
"was an" 37
"way eee" 37
"#no on" 36
"a couple" 36
"and an" 36
"could have" 36
"do you" 36
"his wife" 36
"it and" 36
"like to" 36
"one eee" 36
"program eee" 36
"sss many" 36
"that has" 36
"that have" 36
"the field" 36
"the number" 36
"the rest" 36
"their own" 36
"what they" 36
"you don't" 36
"#no games" 35
"about a" 35
"addition to" 35
"and not" 35
"and some" 35
"be eee" 35
"couple of" 35
"even if" 35
"four years" 35
"home eee" 35
"i didn't" 35
"in january" 35
"in that" 35
"like the" 35
"no one" 35
"of us" 35
"or #no" 35
"rather than" 35
"she has" 35
"sss more" 35
"sss most" 35
"sss of" 35
"state eee" 35
"take a" 35
"that a" 35
"to their" 35
"up and" 35
"we need" 35
"what the" 35
"while the" 35
"i just" 34
"is also" 34
"not have" 34
"of people" 34
"of these" 34
"on their" 34
"out in" 34
"the area" 34
"the department" 34
"the group" 34
"university of" 34
"when she" 34
"who have" 34
"year and" 34
"#no per" 33
"a game" 33
"a man" 33
"agreed to" 33
"and it's" 33
"as part" 33
"back and" 33
"but that" 33
"center eee" 33
"department of" 33
"do eee" 33
"for an" 33
"from his" 33
"hard to" 33
"here eee" 33
"i would" 33
"in march" 33
"members of" 33
"ready to" 33
"so i" 33
"sss i've" 33
"sss other" 33
"the middle" 33
"time in" 33
"to her" 33
"went to" 33
"won the" 33
"#no cents" 32
"and her" 32
"and two" 32
"are not" 32
"back eee" 32
"be in" 32
"but it's" 32
"enough to" 32
"he did" 32
"in recent" 32
"its own" 32
"lack of" 32
"life eee" 32
"might be" 32
"on thursday" 32
"plan to" 32
"sss once" 32
"sss since" 32
"sss two" 32
"that his" 32
"the program" 32
"three years" 32
"to buy" 32
"up eee" 32
"we can" 32
"when we" 32
"years in" 32
"you want" 32
"#no block" 31
"#no miles" 31
"a bit" 31
"again eee" 31
"am to" 31
"but not" 31
"don't have" 31
"during a" 31
"had the" 31
"i'm not" 31
"if it" 31
"is no" 31
"known as" 31
"like that" 31
"list of" 31
"near the" 31
"not just" 31
"on friday" 31
"on this" 31
"only #no" 31
"pay for" 31
"people eee" 31
"rest of" 31
"sort of" 31
"sss because" 31
"sss people" 31
"sss police" 31
"team eee" 31
"that she" 31
"the board" 31
"the money" 31
"the whole" 31
"there's no" 31
"through a" 31
"to know" 31
"to use" 31
"#no is" 30
"#no yards" 30
"a team" 30
"a week" 30
"at all" 30
"came to" 30
"city eee" 30
"decided to" 30
"he can" 30
"in our" 30
"in san" 30
"is still" 30
"it's the" 30
"room eee" 30
"says the" 30
"see the" 30
"should have" 30
"sss from" 30
"sss her" 30
"sss how" 30
"the bill" 30
"the blazers" 30
"the event" 30
"the fact" 30
"the fourth" 30
"the one" 30
"to me" 30
"to think" 30
"we had" 30
"year to" 30
"you are" 30
"a chance" 29
"a home" 29
"any of" 29
"around #no" 29
"at this" 29
"because he" 29
"block of" 29
"close to" 29
"for its" 29
"for them" 29
"he will" 29
"it could" 29
"just #no" 29
"looking for" 29
"made the" 29
"month eee" 29
"must be" 29
"on #no" 29
"on wednesday" 29
"people are" 29
"police said" 29
"supposed to" 29
"the biggest" 29
"the project" 29
"this was" 29
"to provide" 29
"to tell" 29
"two of" 29
"which has" 29
"with her" 29
"years of" 29
"a major" 28
"a more" 28
"amount of" 28
"and if" 28
"and one" 28
"are a" 28
"as it" 28
"because it" 28
"cost of" 28
"could not" 28
"do it" 28
"for example" 28
"for their" 28
"get to" 28
"got to" 28
"house eee" 28
"is expected" 28
"is going" 28
"is now" 28
"million eee" 28
"needs to" 28
"officials said" 28
"right to" 28
"sense of" 28
"she says" 28
"sss also" 28
"sss instead" 28
"that could" 28
"the man" 28
"the race" 28
"the show" 28
"they don't" 28
"thousands of" 28
"up a" 28
"what he" 28
"with it" 28
"without a" 28
"you know" 28
"a way" 27
"along the" 27
"and that's" 27
"and their" 27
"because they" 27
"between #no" 27
"but we" 27
"called the" 27
"declined to" 27
